PLAYER NAME,TEAM,ROLE,MATCHES,NOT OUTs,RUNS,HIGHEST RUN,BATTING AVG,BALLS FACED,BATTING S.R,100s,50s,4s,6s,CATCHES,BALLS BOWLED,RUNS CONCEEDED,WICKETS,BEST BOWLING,BOWLING AVG,ECONOMY,BOWLING S.R
Rohan Raje,mumbai,Batsman,10,4,20,11*,20,18,111.11,0,0,1,1,3,139,209,6,2/16,34.83,9.02,23.16
SanathJayasuriya,mumbai,Batsman,30,2,772,114*,27.57,532,145.11,1,4,85,39,4,294,390,13,3/14,30,7.95,22.61
Shaun Pollock,mumbai,Bowler,13,0,147,33,18.37,111,132.43,0,0,12,8,2,276,301,11,3/12,27.36,6.54,25.09
Dominic Thornely,mumbai,Bowler,6,2,39,30,19.5,53,73.58,0,0,2,2,3,42,40,3,2/7,13.33,5.71,14
Musavir Khote,mumbai,Bowler,4,1,24,9,12,22,109.09,0,0,2,1,0,30,51,2,2/1,25.5,10.2,15
Luke Ronchi,mumbai,Bowler,5,0,34,13,6.8,34,100,0,0,6,1,4,0,0,0,0/0,-,-,-
KL Rahul,punjab,Batsman,88,15,2978,132*,46.53,2192,135.85,2,25,261,120,44,0,0,0,0/0,-,-,-
Mayank Agarwal,punjab,Batsman,95,4,1950,106,22.67,1443,135.13,1,9,185,78,37,0,0,0,0/0,-,-,-
Chris Gayle,punjab,Batsman,140,16,4950,175*,40.24,3312,149.45,6,31,404,357,28,554,729,18,3/21,40.5,7.89,30.77
Deepak Hooda,punjab,Bowler,76,14,741,64,17.23,564,131.38,0,3,39,37,30,313,421,9,2/16,46.77,8.07,34.77
Shahrukh Khan,punjab,Batsman,8,2,107,47,21.4,84,127.38,0,0,7,6,3,0,0,0,0/0,-,-,-
Chris Jordan,punjab,Bowler,23,2,64,30,9.14,57,112.28,0,0,3,3,9,441,678,23,4/11,29.47,9.22,19.17
Harpreet Brar,punjab,Bowler,5,3,49,25*,0,31,158.06,0,0,4,3,1,96,127,4,3/19,31.75,7.93,24
Nicholas Pooran,punjab,Batsman,28,4,549,77,24.95,348,157.75,0,2,35,40,11,0,0,0,0/0,-,-,-
Dawid Malan,punjab,Batsman,1,0,26,26,26,26,100,0,0,1,1,1,0,0,0,0/0,-,-,-
Prabhsimran Singh,punjab,Bowler,5,0,50,16,10,55,90.9,0,0,4,2,2,0,0,0,0/0,-,-,-
Moises Henriques,punjab,Batsman,60,16,985,74*,27.36,776,126.93,0,5,87,27,28,920,1268,39,3/16,32.51,8.26,23.58
Jhye Richardson,punjab,Bowler,3,0,15,15,7.5,24,62.5,0,0,2,0,1,66,117,3,2/1,39,10.63,22
Murugan Ashwin,punjab,Bowler,34,2,23,9,3.83,36,63.88,0,0,1,0,7,672,881,26,3/21,33.88,7.86,25.84
Mohammad Shami,punjab,Bowler,73,11,69,21,6.27,73,94.52,0,0,5,2,15,1526,2241,68,3/15,32.95,8.81,22.44
Fabian Allen,punjab,Bowler,2,0,6,6,6,11,54.54,0,0,0,0,1,42,52,1,1/22,52,7.42,42
Arshdeep Singh,punjab,Bowler,17,2,2,1*,2,6,33.33,0,0,0,0,3,319,477,19,3/23,25.1,8.97,16.78
Mandeep Singh,punjab,Batsman,104,16,1659,77*,22.12,1335,124.26,0,6,170,37,36,30,49,1,1/23,49,9.8,30
Krishnappa Gowtham,punjab,Bowler,24,6,186,33*,14.3,110,169.09,0,0,13,12,10,408,562,13,2/12,43.23,8.26,31.38
Sarfaraz Khan,punjab,Batsman,38,9,441,67,25.94,315,140,0,1,50,11,4,2,6,0,0/0,-,18,-
Jimmy Neesham,punjab,Bowler,10,1,61,22,10.16,65,93.84,0,0,3,2,1,156,265,3,1/17,88.33,10.19,52
Karun Nair,punjab,Batsman,73,5,1480,83*,24.26,1153,128.36,0,10,160,39,22,0,0,0,0/0,-,-,-
Manoj Tiwary,punjab,Batsman,98,26,1695,75*,28.72,1449,116.97,0,7,156,40,45,42,83,1,1/11,83,11.85,42
Andrew Tye,punjab,Bowler,27,4,91,25,10.11,76,119.73,0,0,6,5,7,618,872,40,5/17,21.8,8.46,15.45
Hashim Amla,punjab,Batsman,16,3,577,104*,44.38,407,141.76,2,3,60,21,0,0,0,0,0/0,-,-,-
Shaun Marsh,punjab,Batsman,71,7,2477,115,39.95,1866,132.74,1,20,266,78,26,0,0,0,0/0,-,-,-
Mohit Sharma,punjab,Bowler,86,12,122,21*,8.13,117,104.27,0,0,8,4,18,1754,2470,92,4/14,26.84,8.44,19.06
